,Player,Agents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
0,"sociablEE
FF",(+1),326,280.1,1.3,72%,182.1,0.95,0.23,0.2,0.13,23%,15%,Mar-20,32,310,238,76,64,41
1,"Masic
SR",,349,264.4,1.35,76%,174,0.91,0.19,0.16,0.09,26%,13%,Jul-53,33,317,235,65,55,32
2,"DeadInk
GAL",,390,250.2,1.09,70%,161.4,0.83,0.22,0.18,0.17,21%,9%,Mar-33,24,325,297,84,69,67
3,"VPNCNP
TBG",(+2),346,249.5,1.21,74%,158.5,0.87,0.23,0.12,0.07,26%,11%,May-44,24,300,247,80,42,25
4,"yetujey
FF",,44,238.5,1.32,64%,150.8,0.84,0.18,0.14,0.07,26%,13%,01-Aug,19,37,28,8,6,3
5,"Alfajer
SR",(+2),349,238.2,1.37,76%,154.6,0.88,0.2,0.13,0.11,38%,22%,Aug-36,34,306,223,69,47,40
6,"qw1
FUT",,328,237.6,1.19,71%,150.7,0.84,0.17,0.19,0.12,25%,17%,Jun-35,25,276,231,57,61,40
7,"Touven
GSE",(+2),367,221.7,1.05,69%,152.6,0.78,0.27,0.1,0.1,25%,14%,Aug-57,29,285,272,99,36,35
8,"froz
GSE",(+2),367,220.3,1,71%,145.1,0.76,0.22,0.11,0.1,27%,17%,Jul-42,28,279,279,80,42,38
9,"sterben
FF",,326,219.9,1.25,73%,142.1,0.81,0.28,0.08,0.08,34%,27%,Nov-41,26,263,211,90,26,27
10,"DubzWoW
TBG",(+1),346,219.8,0.97,69%,143.9,0.74,0.26,0.17,0.15,14%,,0/31,29,257,264,90,60,53
11,"Elite
FB",(+2),350,217.3,1.04,67%,146,0.79,0.19,0.1,0.08,44%,16%,Sep-57,28,277,266,68,36,27
12,"AtaKaptan
TBG",,346,215.9,1.1,74%,138.9,0.74,0.51,0.09,0.11,25%,21%,Sep-43,26,255,232,176,32,37
13,"Burzzy
FB",,350,215.3,0.92,69%,144.7,0.74,0.26,0.1,0.11,39%,8%,Feb-26,25,259,282,92,35,40
14,"qRaxs
FUT",,328,211.6,1.18,73%,136.7,0.77,0.3,0.08,0.05,34%,12%,May-42,30,253,215,98,27,16
15,"MOJJ
FUT",,328,211.1,1.14,76%,142.3,0.74,0.26,0.09,0.08,29%,14%,May-35,21,242,212,84,31,27
16,"MrFaliN
FUT",,328,210.3,1.06,75%,136.9,0.7,0.32,0.11,0.09,23%,7%,Feb-29,24,229,217,104,35,31
17,"Gloomy
FB",,90,206.8,0.84,62%,138.6,0.68,0.12,0.14,0.22,28%,8%,Jan-13,23,61,73,11,13,20
18,"TheCady
Lixa",,316,206.7,0.93,66%,135.9,0.74,0.13,0.16,0.14,29%,12%,Apr-33,24,233,251,42,49,45
19,"TheNightChe
Lixa",,316,206.1,0.92,66%,136.4,0.72,0.23,0.1,0.11,33%,17%,Jun-35,25,228,248,74,33,35
20,"Docent
GSE",(+2),367,206,0.96,69%,138.6,0.71,0.29,0.06,0.09,27%,8%,Apr-50,26,259,271,108,22,33
21,"sturNNcya
GAL",(+1),390,203.3,1.02,68%,137.2,0.73,0.16,0.08,0.08,26%,12%,Aug-65,32,286,280,61,33,33
22,"lauress
FF",,308,202.5,1.26,79%,137,0.76,0.3,0.08,0.07,32%,17%,May-29,33,234,186,93,26,21
23,"hatex
GAL",(+1),390,201.5,1.01,72%,137.6,0.73,0.24,0.07,0.06,26%,8%,Apr-52,26,283,280,95,28,25
24,"farewell
Lixa",(+2),316,201.3,0.8,68%,138.7,0.65,0.25,0.1,0.08,27%,4%,Feb-45,18,204,254,78,31,25
25,"re1sxd
TBG",,346,200.3,0.96,72%,132.8,0.7,0.29,0.09,0.08,20%,13%,May-40,23,241,252,99,31,29
26,"Bia
Lixa",(+1),316,200.1,0.95,68%,127.6,0.72,0.14,0.12,0.07,27%,14%,Jun-42,26,226,239,43,38,22
27,"JN3v1cEEE
FF",(+1),282,198.6,1.06,74%,127.2,0.71,0.22,0.09,0.09,23%,8%,Feb-25,20,199,187,61,24,24
28,"RieNs
SR",(+1),328,197.6,1.03,74%,135.9,0.67,0.33,0.09,0.08,32%,13%,Apr-30,23,221,215,107,30,27
29,"Jlerst
SR",,349,196.1,1.12,77%,122.1,0.72,0.39,0.08,0.07,29%,19%,Jun-32,27,251,225,135,28,24
30,"SouhcNi
FF",(+1),282,195.2,1.09,75%,130.1,0.7,0.24,0.1,0.11,26%,34%,Nov-32,23,198,181,68,27,32
31,"skylen
FF",,18,195,1.3,83%,134.3,0.72,0.56,0.06,0,22%,50%,01-Feb,13,13,10,10,1,0
32,"Bard0lf
Lixa",(+1),214,194,0.94,71%,126.8,0.66,0.39,0.04,0.06,39%,16%,May-32,24,141,150,83,8,13
33,"p0wa77
FUT",,328,188.7,0.98,71%,123.3,0.66,0.26,0.07,0.11,32%,21%,Jun-29,22,217,221,86,23,37
34,"Theia
FB",,183,187.4,0.77,62%,130.2,0.61,0.18,0.12,0.2,19%,22%,02-Sep,23,112,145,33,22,36
35,"Mykoz
FB",(+3),350,185.3,0.84,65%,123,0.65,0.26,0.09,0.11,29%,18%,Aug-45,26,226,268,91,31,38
36,"gosaydam
GSE",,367,184.9,0.88,63%,123,0.66,0.2,0.13,0.18,19%,8%,Mar-39,24,241,275,74,48,66
37,"SoyeR
FB",,118,178.5,0.86,59%,125.5,0.66,0.13,0.08,0.12,30%,13%,Feb-15,22,78,91,15,10,14
38,"Marw0ll
GAL",,139,177.5,0.84,68%,118,0.62,0.32,0.08,0.12,29%,,0/8,27,86,102,45,11,16
39,"jeyj7y
SR",(+1),349,175.6,0.92,77%,117.5,0.6,0.44,0.06,0.11,24%,32%,Jul-22,24,208,227,154,21,38
40,"Iroh
GSE",(+3),367,172.1,0.82,69%,113.4,0.59,0.32,0.06,0.07,21%,18%,Jun-34,21,216,265,118,22,25
41,"m1tez
GAL",(+1),251,171.9,0.82,63%,111.4,0.6,0.25,0.08,0.12,31%,5%,Jan-22,24,150,184,64,20,29
42,"SasuKe
GAL",,390,170.2,0.77,66%,117.8,0.57,0.28,0.05,0.1,28%,12%,Jun-50,22,224,290,108,19,40
